BILL_1,BILL_2,BILL_3,BILL_4,BILL_5,BILL_6,AGE,SEX,EDUCATION,MARRIAGE,RISK
0,0,0,0,0,0,37,Female,Graduate School,Married,LOW
8525,5141,5239,7911,17890,10000,25,Male,High School,Single,HIGH
628,662,596,630,664,598,39,Male,Graduate School,Married,HIGH
4649,3964,3281,934,467,12871,41,Female,Graduate School,Single,HIGH
46300,10849,8857,9658,9359,9554,55,Female,High School,Married,HIGH
302396,2000,2208,105145,106511,108228,52,Male,Others,Married,HIGH
180461,171839,173325,153953,144206,143178,32,Male,University,Single,HIGH
4769,6720,23393,13214,8162,5138,25,Female,Graduate School,Married,HIGH
153249,154049,156523,159653,162866,157759,43,Male,University,Married,HIGH
64937,63240,51426,37872,33780,47367,30,Female,University,Married,HIGH
76166,83909,169911,130718,131684,126223,42,Male,University,Married,HIGH
7973,9686,9382,10821,10361,10046,50,Female,University,Married,HIGH
12740,17239,14496,16185,8962,8756,31,Male,Graduate School,Single,HIGH
136330,173367,160847,87399,74761,67855,31,Male,University,Single,HIGH
22419,24932,23502,24603,24996,26426,34,Female,University,Married,HIGH
70820,66163,67605,68855,70377,67818,45,Female,University,Others,HIGH
6350,0,0,0,0,0,50,Female,Graduate School,Married,HIGH
29091,5763,15673,9393,69526,37940,31,Female,Graduate School,Single,HIGH
15654,16425,17265,16647,12213,10998,31,Female,High School,Married,LOW
29557,30091,28247,28884,29523,30672,53,Male,University,Married,HIGH
14310,3697,0,0,0,0,39,Male,Others,Married,HIGH
0,20249,3765,29393,26408,27653,25,Female,High School,Married,HIGH
21072,2520,-3990,22193,21546,1922,30,Female,University,Single,HIGH
92707,73970,122304,116674,89694,68256,33,Female,Others,Married,HIGH
13854,3366,2671,13780,20652,10876,34,Male,University,Married,HIGH
11501,12998,13492,12978,13962,13595,43,Female,University,Married,LOW
10171,8150,8446,8067,8227,8400,50,Male,University,Married,HIGH
7417,7488,24003,10208,22215,7332,34,Female,Graduate School,Married,HIGH
61793,79467,26943,148307,71373,7406,35,Female,University,Single,HIGH
2500,2500,2500,2500,2500,2500,29,Male,University,Single,LOW
59646,49412,48060,51132,49348,40652,28,Male,Graduate School,Single,HIGH
2597,3807,1160,985,0,65862,29,Female,Graduate School,Married,HIGH
138421,137456,139977,136207,50464,49430,30,Male,University,Single,LOW
890,-180,101,480,0,0,25,Male,University,Married,HIGH
4957,9463,7697,5308,2048,6283,46,Female,Graduate School,Married,HIGH
97229,94777,95634,65828,61621,62756,40,Female,Graduate School,Married,LOW
2727,1679,566,61664,58281,58281,41,Female,University,Married,HIGH
363,2089,4822,48741,92978,0,33,Female,Graduate School,Married,HIGH
1534,3524,2130,7510,1117,916,26,Female,University,Single,HIGH
111625,110488,107488,97021,86283,87345,29,Female,Graduate School,Single,HIGH
53718,55851,56424,57584,58957,60317,30,Male,Graduate School,Single,HIGH
20433,19302,19276,19451,19641,20188,22,Male,University,Single,HIGH
7510,7247,8165,8529,8743,8949,26,Male,Graduate School,Single,LOW
26501,21340,11003,1848,1116,927,39,Male,Graduate School,Married,HIGH
380,380,380,380,0,380,35,Female,Graduate School,Married,HIGH
66393,67827,69202,70153,71468,72930,33,Male,University,Married,LOW
10317,5755,8587,7782,6987,7662,36,Female,Graduate School,Married,HIGH
8918,8634,8280,11500,9000,0,35,Male,High School,Single,HIGH
39745,27393,26948,27379,22767,4721,41,Female,University,Married,HIGH
-5,3584,2280,2280,0,0,37,Male,University,Married,HIGH
137574,199563,122093,105425,100206,96073,27,Male,Graduate School,Single,HIGH
45408,36025,0,0,0,0,41,Female,University,Single,HIGH
10916,11940,11462,13263,12758,13545,31,Male,University,Single,LOW
1362,1352,1867,36986,40053,41196,24,Female,University,Single,HIGH
44970,48101,46993,47940,50903,49794,31,Female,University,Married,LOW
264,264,264,264,414,264,32,Male,Graduate School,Single,HIGH
204052,207977,214117,216712,194521,198246,45,Female,University,Married,HIGH
9030,9685,10996,13149,14655,17133,25,Female,University,Single,HIGH
43507,44282,23946,0,0,0,39,Female,Graduate School,Married,HIGH
15054,15104,15428,16273,16305,780,37,Male,University,Married,LOW
1597,-2002,-1001,3999,0,4483,34,Male,Graduate School,Single,HIGH
820,820,820,820,590,2099,40,Male,Graduate School,Married,HIGH
108,-218,63174,43374,43950,44501,28,Female,University,Married,HIGH
100,100,100,100,100,100,31,Male,Graduate School,Single,HIGH
104163,92199,85868,74198,69783,66132,29,Female,University,Married,HIGH
